iter	MultiClass
393	0.5381196932
394	0.5375592032
395	0.5370681925
396	0.5366086446
397	0.5361682246
398	0.5358153971
399	0.5354759014
400	0.535077368
401	0.5346410679
402	0.5343141594
403	0.5338319932
404	0.5333624401
405	0.5326733022
406	0.5320860803
407	0.5318914285
408	0.5317057834
409	0.5312448717
410	0.5310047832
411	0.5307076137
412	0.5303834801
413	0.5301249516
414	0.5293991325
415	0.5292600388
416	0.5290335978
417	0.5287372462
418	0.5282478985
419	0.5276511334
420	0.5270959405
421	0.5267642801
422	0.5261256588
423	0.5257076514
424	0.5255787812
425	0.5252425434
426	0.5250582044
427	0.5248476883
428	0.5246236684
429	0.5241069974
430	0.5235533755
431	0.5230931963
432	0.5227383557
433	0.5222484968
434	0.5218275036
435	0.5213591354
436	0.5211869956
437	0.5208206123
438	0.5202366551
439	0.519826346
440	0.5194561222
441	0.5190719636
442	0.5184545894
443	0.5181282483
444	0.5178740619
445	0.5174401186
446	0.5172642579
447	0.5167150558
448	0.5163343147
449	0.516194915
450	0.5158756567
451	0.5156845066
452	0.5153011318
453	0.514783791
454	0.5145000951
455	0.5143090055
456	0.5140971636
457	0.5137575415
458	0.5135321945
459	0.513111877
460	0.5124794925
461	0.5121382227
462	0.5117700355
463	0.5113843973
464	0.5108777595
465	0.510603149
466	0.5100296408
467	0.5098855319
468	0.509444043
469	0.509178953
470	0.508905357
471	0.5086667767
472	0.5084130145
473	0.5081104187
474	0.507809601
475	0.5075473907
476	0.5071512388
477	0.506985278
478	0.5067074962
479	0.5064760332
480	0.5061760361
481	0.5060106132
482	0.5056479368
483	0.5054607694
484	0.5049932252
485	0.5047267954
486	0.5044546591
487	0.5040556231
488	0.5037575142
489	0.503193672
490	0.5030180779
491	0.5026768424
492	0.502488873
493	0.5022016957
494	0.5018303659
495	0.5015027513
496	0.5012612974
497	0.5007247596
498	0.5004560065
499	0.5001158459
500	0.4999677799
501	0.4996716002
502	0.4992906972
503	0.4989365293
504	0.4987725041
505	0.4983091096
506	0.4981457359
507	0.4978776978
508	0.4972881718
509	0.4971640912
510	0.4968531473
511	0.496533674
512	0.4961499484
513	0.4957031383
514	0.4951957441
515	0.4949892415
516	0.49476914
517	0.4944378114
518	0.4940330898
519	0.4935391863
520	0.4932623138
521	0.4928099343
522	0.492635454
523	0.492433236
524	0.4922866736
525	0.492043839
526	0.4917875121
527	0.4916448258
528	0.4914000821
529	0.4909978117
530	0.4902105871
531	0.4898412246
532	0.4896642496
533	0.4894687773
534	0.4893399187
535	0.4891675117
536	0.4887599477
537	0.4884928705
538	0.4881905638
539	0.4878832975
540	0.4876292262
541	0.4874982738
542	0.4871242593
543	0.4867250718
544	0.4864364546
545	0.4860267185
546	0.4858523514
547	0.4855914876
548	0.4853019734
549	0.4851304865
550	0.4848045025
551	0.4845686288
552	0.4841807368
553	0.4838972709
554	0.4837007818
555	0.4834817128
556	0.483210749
557	0.4830099374
558	0.4825969556
559	0.4821701966
560	0.4816525832
561	0.4813187042
562	0.4811149204
563	0.4809318803
564	0.4804150904
565	0.4800855323
566	0.4797683011
567	0.4793583443
568	0.4791631098
569	0.4788480063
570	0.4786350819
571	0.4783220932
572	0.4779560283
573	0.4778574813
574	0.4775841643
575	0.477441527
576	0.477245647
577	0.4766341079
578	0.4765092909
579	0.4762310665
580	0.4759457268
581	0.4757911598
582	0.4756087744
583	0.4754179597
584	0.4752342572
585	0.474911715
586	0.4747097963
587	0.4744374794
588	0.4739571852
589	0.4737930924
590	0.4737205547
591	0.4734465007
592	0.4729111528
593	0.4726659162
594	0.4724793824
595	0.4723007993
596	0.471927558
597	0.4718502568
598	0.471555154
599	0.4711932415
600	0.4709558456
601	0.4704361273
602	0.4701631557
603	0.4698271726
604	0.4696627838
605	0.4692995085
606	0.4690042713
607	0.4689193349
608	0.4686764397
609	0.4681199344
610	0.4678924965
611	0.4676059338
612	0.4673565806
613	0.4670104246
614	0.466673392
615	0.4662809387
616	0.466134036
617	0.4660655561
618	0.4658933906
619	0.465706718
620	0.4654896427
621	0.4651603097
622	0.4651017333
623	0.464817153
624	0.4644412108
625	0.4640608715
626	0.4636073912
627	0.4632801195
628	0.4629733318
629	0.4628504559
630	0.4626211398
631	0.4624152465
632	0.4623076784
633	0.46221534
634	0.4619593632
635	0.4617337287
636	0.4614000249
637	0.4611518926
638	0.4607569529
639	0.4606088354
640	0.4602768468
641	0.4599561572
642	0.4595647449
643	0.4593125925
644	0.4590129738
645	0.4587284121
646	0.4585222568
647	0.4581724295
648	0.4577523546
649	0.4575436768
650	0.4573488479
651	0.4571715819
652	0.456946725
653	0.4565894572
654	0.4564525229
655	0.456242073
656	0.4560571214
657	0.4558724255
658	0.4555217175
659	0.4552711033
660	0.4551646789
661	0.4549756848
662	0.454768895
663	0.454612211
664	0.4544562189
665	0.4539495996
666	0.4536155999
667	0.4531621796
668	0.4529282714
669	0.452451707
670	0.4520447364
671	0.451739113
672	0.4515045671
673	0.4512457763
674	0.4509102151
675	0.4507544534
676	0.4505984032
677	0.4504582015
678	0.4501798055
679	0.449946746
680	0.4498270864
681	0.4496632771
682	0.4489514562
683	0.4484636674
684	0.4480505468
685	0.4477209634
686	0.447380897
687	0.4471021149
688	0.4468011423
689	0.4463458468
690	0.4460625719
691	0.4457447439
692	0.4456200413
693	0.4453619138
694	0.4452317325
695	0.4450706093
696	0.4448368693
697	0.4445914918
698	0.4442895897
699	0.444009406
700	0.4437531401
701	0.4435148321
702	0.4433761339
703	0.4431379178
704	0.4427537219
705	0.4425623263
706	0.4422677212
707	0.4417613909
708	0.4412982729
709	0.4410098869
710	0.4409242721
711	0.4407256949
712	0.4402822066
713	0.4400867016
714	0.4398653067
715	0.4395663827
716	0.4394817372
717	0.439251716
718	0.4391593039
719	0.4389193503
720	0.4387887006
721	0.4387192297
722	0.4384569917
723	0.4379954306
724	0.4378461638
725	0.437605563
726	0.4374998227
727	0.4372853973
728	0.4371298997
729	0.4368140638
730	0.4365766182
731	0.4364606242
732	0.4362576886
733	0.4360963374
734	0.4357230661
735	0.4354278457
736	0.4351523258
737	0.4349474083
738	0.4348502434
739	0.4345917842
740	0.434274406
741	0.4340349585
742	0.4336808765
743	0.4335897238
744	0.4334934988
745	0.4332538438
746	0.4331579046
747	0.4329775995
748	0.4327840655
749	0.4323144605
750	0.4320996145
751	0.4317428124
752	0.4315543595
753	0.4312676815
754	0.4310938532
755	0.4308692396
756	0.4307613209
757	0.4306909527
758	0.4302967574
759	0.4302156108
760	0.4300538134
761	0.4297030998
762	0.4295426985
763	0.4293968798
764	0.4289244585
765	0.4286616501
766	0.4283448245
767	0.4280084493
768	0.4278158945
769	0.4275189901
770	0.427325991
771	0.4271931149
772	0.4268193576
773	0.4263401557
774	0.4261826052
775	0.425911975
776	0.4254740786
777	0.4252558736
778	0.4249002027
779	0.4247077652
780	0.4245632582
781	0.4243387294
782	0.4242244074
783	0.4240458423
784	0.4235700188
785	0.4233121343
786	0.4231870023
787	0.4230654375
788	0.4229109772
789	0.4226296316
790	0.4225381629
791	0.4224300222
792	0.4220984157
793	0.4218733554
794	0.4215486039
795	0.4213131959
796	0.4212339408
797	0.4209663371
798	0.4209047777
799	0.4207665373
800	0.4205480438
801	0.4203691717
802	0.4200218496
803	0.4199067183
804	0.4196672525
805	0.4195886768
806	0.4192579064
807	0.4191050178
808	0.4190490395
809	0.4188497958
810	0.4187444529
811	0.418629266
812	0.4184978712
813	0.4183568731
814	0.4176835296
815	0.4173534119
816	0.417233949
817	0.4169606216
818	0.4167579771
819	0.4165005338
820	0.416282052
821	0.4160929185
822	0.4154728781
823	0.4151961285
824	0.4149852984
825	0.4147301754
826	0.4144545304
827	0.414324555
828	0.4139552162
829	0.4136573622
830	0.4134910018
831	0.4131133669
832	0.4129166916
833	0.4127562814
834	0.4124535129
835	0.4122106813
836	0.4119118401
837	0.4117229469
838	0.4114944925
839	0.4110372358
840	0.4107902431
841	0.4106103259
842	0.4103112328
843	0.4101404404
844	0.4098297125
845	0.4097403293
846	0.4095703346
847	0.4093466722
848	0.4091922662
849	0.409060908
850	0.4087543469
851	0.4086324485
852	0.4084475224
853	0.4081804055
854	0.4080610916
855	0.407849953
856	0.4077709441
857	0.4076150382
858	0.4072785351
859	0.4070565979
860	0.4069110378
861	0.4065961845
862	0.4062994101
863	0.4062172419
864	0.4060947719
865	0.405846049
866	0.4056100029
867	0.4051718591
868	0.4049158918
869	0.4047254987
870	0.4045678374
871	0.404286147
872	0.4041066995
873	0.4039229698
874	0.4036970829
875	0.4035300732
876	0.403258057
877	0.4031618723
878	0.4029357415
879	0.4027202813
880	0.402288279
881	0.4021604199
882	0.4019925996
883	0.401958483
884	0.4017985243
885	0.4016543848
886	0.4015382654
887	0.4012581578
888	0.4011305254
889	0.4008511756
890	0.4006524627
891	0.4004837056
892	0.400427304
893	0.4003742953
894	0.4001791135
895	0.4000493909
896	0.3996463078
897	0.399519578
898	0.3994692646
899	0.3991486781
900	0.3990034566
901	0.3988657738
902	0.3987049307
903	0.398619611
904	0.3985716624
905	0.3983510918
906	0.3981125214
907	0.3980444546
908	0.3978802871
909	0.397715552
910	0.3974971374
911	0.397281483
912	0.3968872664
913	0.3966533733
914	0.3965710401
915	0.3963979792
916	0.3962784193
917	0.3960867278
918	0.3957875344
919	0.3955262924
920	0.3953419165
921	0.3949578065
922	0.3947805196
923	0.3946649138
924	0.3944611405
925	0.3942174504
926	0.3940263626
927	0.3937841605
928	0.3937210972
929	0.3933996096
930	0.39332133
931	0.3931245683
932	0.3929843816
933	0.3928680717
934	0.3925200797
935	0.3922907566
936	0.3920436369
937	0.3919192368
938	0.3916889211
939	0.3915597217
940	0.391323275
941	0.3911814438
942	0.3909512801
943	0.3907864261
944	0.3905220257
945	0.3902588245
946	0.3899389171
947	0.3897219396
948	0.3896475703
949	0.3894199634
950	0.389255216
951	0.3890921524
952	0.3889876881
953	0.3887058517
954	0.3884427622
955	0.3881804126
956	0.388028502
957	0.3878775391
958	0.3877256808
959	0.3873947782
960	0.3869247022
961	0.3868606644
962	0.3865529721
963	0.3863534273
964	0.3862036032
965	0.3860171617
966	0.3856604121
967	0.3854353886
968	0.3853184795
969	0.3850539983
970	0.3849709024
971	0.3848350391
972	0.3846672817
973	0.3846204433
974	0.3845228826
975	0.3842993486
976	0.3840795211
977	0.3838126514
978	0.3836100495
979	0.3834877068
980	0.3832558173
981	0.3829107236
982	0.3826444213
983	0.3824795107
984	0.3822512695
985	0.3820244615
986	0.3819583842
987	0.3818795743
988	0.3817149228
989	0.3811377948
990	0.3808638019
991	0.3805164636
992	0.3802632747
993	0.3801931473
994	0.3801327111
995	0.3798582826
996	0.379644831
997	0.3794049979
998	0.3792768202
999	0.3791393238
