iter	Passed	Remaining
412	3267	4644
413	3275	4636
414	3283	4628
415	3290	4619
416	3298	4611
417	3305	4602
418	3313	4594
419	3321	4586
420	3328	4578
421	3336	4569
422	3343	4560
423	3351	4552
424	3358	4544
425	3366	4535
426	3373	4527
427	3381	4518
428	3389	4510
429	3396	4502
430	3404	4494
431	3411	4485
432	3418	4476
433	3426	4468
434	3434	4460
435	3441	4451
436	3448	4443
437	3456	4434
438	3463	4426
439	3471	4418
440	3479	4410
441	3486	4401
442	3494	4393
443	3501	4385
444	3509	4376
445	3516	4367
446	3524	4359
447	3531	4351
448	3538	4342
449	3546	4334
450	3554	4326
451	3561	4317
452	3569	4309
453	3576	4301
454	3584	4293
455	3591	4284
456	3599	4276
457	3606	4268
458	3614	4259
459	3621	4251
460	3629	4243
461	3637	4235
462	3645	4227
463	3652	4219
464	3660	4211
465	3676	4212
466	3684	4204
467	3691	4196
468	3699	4188
469	3706	4179
470	3714	4171
471	3721	4162
472	3729	4154
473	3736	4146
474	3743	4137
475	3751	4129
476	3758	4121
477	3766	4113
478	3773	4104
479	3781	4096
480	3788	4088
481	3796	4080
482	3805	4072
483	3812	4064
484	3820	4056
485	3827	4048
486	3834	4039
487	3842	4031
488	3849	4022
489	3857	4014
490	3864	4005
491	3871	3997
492	3892	4003
493	3900	3994
494	3908	3987
495	3915	3978
496	3923	3970
497	3930	3962
498	3938	3954
499	3945	3945
500	3953	3938
501	3961	3929
502	3968	3921
503	3976	3913
504	3984	3905
505	3992	3897
506	4000	3890
507	4008	3882
508	4015	3873
509	4023	3865
510	4031	3857
511	4039	3849
512	4047	3842
513	4055	3834
514	4078	3841
515	4085	3832
516	4094	3824
517	4101	3816
518	4110	3809
519	4117	3801
520	4125	3792
521	4133	3784
522	4140	3776
523	4148	3768
524	4156	3760
525	4164	3752
526	4171	3744
527	4179	3735
528	4186	3727
529	4193	3719
530	4202	3711
531	4210	3703
532	4217	3695
533	4225	3687
534	4233	3679
535	4240	3671
536	4248	3663
537	4256	3654
538	4263	3646
539	4270	3638
540	4278	3629
541	4285	3621
542	4293	3613
543	4301	3605
544	4308	3597
545	4316	3589
546	4324	3581
547	4332	3573
548	4340	3565
549	4347	3557
550	4355	3548
551	4363	3541
552	4371	3533
553	4378	3525
554	4386	3516
555	4393	3508
556	4401	3500
557	4408	3492
558	4416	3483
559	4423	3475
560	4431	3467
561	4438	3459
562	4446	3451
563	4453	3442
564	4460	3434
565	4468	3426
566	4476	3418
567	4483	3409
568	4491	3401
569	4498	3393
570	4506	3385
571	4514	3377
572	4521	3369
573	4529	3361
574	4536	3353
575	4544	3345
576	4552	3337
577	4559	3329
578	4567	3321
579	4574	3312
580	4582	3304
581	4589	3296
582	4596	3287
583	4604	3280
584	4612	3272
585	4620	3264
586	4627	3256
587	4635	3247
588	4642	3239
589	4650	3231
590	4657	3223
591	4665	3215
592	4672	3206
593	4680	3198
594	4687	3190
