iter	Logloss
0	0.6791632888
1	0.6653882451
2	0.6536275741
3	0.6414275816
4	0.6308931755
5	0.6209058143
6	0.6109636829
7	0.6019163127
8	0.592532946
9	0.5845915993
10	0.5768764885
11	0.5689236312
12	0.5619418522
13	0.5546167634
14	0.5492748812
15	0.5430990042
16	0.5373778749
17	0.532361634
18	0.5266700553
19	0.5214700508
20	0.5162868422
21	0.5119214933
22	0.5076146317
23	0.50386205
24	0.49991384
25	0.4959968088
26	0.4931567211
27	0.4893433818
28	0.485886339
29	0.4826076759
30	0.4794388869
31	0.4764048035
32	0.474158094
33	0.4715244051
34	0.4696089633
35	0.4675961623
36	0.4652882469
37	0.4631312303
38	0.4609080637
39	0.4591818655
40	0.4570453876
41	0.4551984809
42	0.45297797
43	0.4507484355
44	0.448993471
45	0.4471767863
46	0.445694712
47	0.4445769646
48	0.4431926102
49	0.4416024454
50	0.4403558013
51	0.4388484806
52	0.4374406615
53	0.4360581882
54	0.4347583322
55	0.4339509553
56	0.4327814416
57	0.4317926006
58	0.4306735932
59	0.4295293682
60	0.4284417086
61	0.4278088027
62	0.4271503619
63	0.4261939879
64	0.4255400001
65	0.425104857
66	0.4243237236
67	0.423322326
68	0.4224207726
69	0.4218336513
70	0.4212728361
71	0.4204795025
72	0.419841264
73	0.419298849
74	0.4189941092
75	0.4185213899
76	0.4179519619
77	0.4172316506
78	0.4166734615
79	0.4163039245
80	0.4156664472
81	0.4152810229
82	0.4148423441
83	0.4142801616
84	0.4138323179
85	0.4133429961
86	0.4128460318
87	0.4122354492
88	0.4115659193
89	0.4109349023
90	0.4104966445
91	0.4101188226
92	0.4097468188
93	0.4093966419
94	0.4091749187
95	0.408904171
96	0.4085124126
97	0.4079604985
98	0.4075836127
99	0.4073377457
100	0.4069360599
101	0.406447607
102	0.4060332575
103	0.4056794644
104	0.4053523427
105	0.4050523832
106	0.4048216182
107	0.4043376859
108	0.4040241896
109	0.4038520436
110	0.4033534456
111	0.403052372
112	0.4027318609
113	0.4025448526
114	0.4020672073
115	0.4017343276
116	0.401404517
117	0.4013197823
118	0.4009915586
119	0.4006910907
120	0.4003951172
121	0.3999761492
122	0.3998011194
123	0.3995505782
124	0.3993385429
125	0.3989769138
126	0.3988907231
127	0.3986646829
128	0.3983330277
129	0.3982111779
130	0.3981331225
131	0.3978441163
132	0.3977180771
133	0.397513433
134	0.3972452238
135	0.3970172063
136	0.3967295402
137	0.3965174575
138	0.3962082699
139	0.3959489158
140	0.3957490896
141	0.3954591025
142	0.3953402794
143	0.3951490475
144	0.3947418703
145	0.3945731248
146	0.3945119239
147	0.3944337643
148	0.3943301421
149	0.3942864328
150	0.3941180402
151	0.3938745758
152	0.3937432597
153	0.3937200066
154	0.3936886446
155	0.3936016678
156	0.3935045073
157	0.3933814894
158	0.3933447592
159	0.3933067404
160	0.3930084197
161	0.3929190338
162	0.3928753181
163	0.392705861
164	0.3926759545
165	0.3926049263
166	0.3924471634
167	0.3924134284
168	0.3923477628
169	0.3923175601
170	0.3921851832
171	0.3921274092
172	0.392045277
173	0.3919375807
174	0.3919036709
175	0.3918619928
176	0.3918300624
177	0.391698673
178	0.391657511
179	0.3915198852
180	0.3914735333
181	0.3913668495
182	0.3911478668
183	0.3910109507
184	0.3909823831
185	0.3909426866
186	0.3908064979
187	0.3907804342
188	0.3907560755
189	0.3907385177
190	0.3906720546
191	0.3906264407
192	0.3905725673
193	0.3903090964
194	0.3902000137
195	0.3901474208
196	0.3901159397
197	0.3900395544
198	0.3900092626
199	0.3899773129
200	0.3899520923
201	0.3897709245
202	0.3897449814
203	0.3897190454
204	0.3896850831
205	0.3895638955
206	0.3895382132
207	0.3894991719
208	0.3894768148
209	0.3894456238
210	0.3893761596
211	0.3893480034
212	0.389176865
213	0.3891481489
214	0.3891235187
215	0.38909836
216	0.3890409237
217	0.388836213
218	0.3888002643
219	0.3887678025
220	0.3887359281
221	0.388713704
222	0.3886771508
223	0.3886247882
224	0.3883504754
225	0.388288318
226	0.3882545999
227	0.388212004
228	0.3881740974
229	0.3881524648
230	0.3881193644
231	0.3880933977
232	0.388063235
233	0.3880260541
234	0.3879943989
235	0.3879568904
236	0.3879070401
237	0.3878402309
238	0.3878212305
239	0.3877099291
240	0.3876911536
241	0.3875231681
242	0.3874940714
243	0.3874625499
244	0.3874084659
245	0.3873883399
246	0.3873443341
247	0.3873089839
248	0.3872761966
249	0.3872335305
250	0.387203729
251	0.3871719855
252	0.3871498368
253	0.3871185578
254	0.387088349
255	0.3870189522
256	0.3869822355
257	0.3867959095
258	0.386764184
259	0.3865224944
260	0.3865043727
261	0.3864583865
262	0.3864391866
263	0.3864084194
264	0.3861413891
